2025-07-21 08:49:32.699 [info] update#setState idle
2025-07-21 08:50:02.690 [info] update#setState checking for updates
2025-07-21 08:50:02.937 [info] update#setState available for download
2025-07-21 08:54:42.750 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 08:55:37.330 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 08:57:22.349 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 08:57:44.651 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 08:58:56.824 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:07:43.218 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:07:44.181 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:21:50.587 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:23:43.809 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:27:36.605 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:27:43.919 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:27:48.428 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:30:30.174 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:30:33.150 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:30:33.775 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:30:54.699 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:31:14.458 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:34:19.416 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:36:10.749 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:36:35.358 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:37:03.122 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:40:20.097 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:42:46.372 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:42:48.525 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:52:35.260 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:52:35.524 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:52:35.787 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:52:36.044 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:52:36.461 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:52:36.726 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:52:36.995 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:52:37.247 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 09:52:37.656 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 10:03:21.299 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 10:03:21.590 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 10:03:22.074 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 10:04:30.666 [info] Extension host with pid 431 exited with code: 0, signal: unknown.
